location_id,sex_id,age_group_id,measurement,val,sample_size,hiv_positive,upper,lower
179,1,149,HIV_prev_national,0.0014,4365,6,0.00250921508110346,0.000290784918896539
179,1,150,HIV_prev_national,0.0043,3525,15,0.00646006595351043,0.00213993404648957
179,1,151,HIV_prev_national,0.011,2542,28,0.0150546633946646,0.00694533660533543
179,1,14,HIV_prev_national,0.016,949,15.184,0.0239831175706286,0.00801688242937142
179,1,0,HIV_prev_national,0.005639575,11381,64.184,0.00701536764483715,0.00426378235516285
179,2,149,HIV_prev_national,0.0027,5173,14,0.00411407239239166,0.00128592760760834
179,2,150,HIV_prev_national,0.0146,4530,66,0.018092864167513,0.011107135832487
179,2,151,HIV_prev_national,0.0246,2723,67,0.0304181270347183,0.0187818729652817
179,2,14,HIV_prev_national,0.019,872,16.568,0.0280615220737102,0.00993847792628982
179,2,0,HIV_prev_national,0.012300196,13298,163.568,0.0141735654186935,0.0104268265813065
180,1,149,HIV_prev_national,0.0055,2870,15.785,0.00820577002407223,0.00279422997592777
180,1,150,HIV_prev_national,0.027,2870,77.49,0.0329298737193121,0.0210701262806879
180,1,151,HIV_prev_national,0.053,2870,152.11,0.0611963419151932,0.0448036580848068
180,1,14,HIV_prev_national,0.083,1435,119.105,0.0972740053273394,0.0687259946726606
180,1,0,HIV_prev_national,0.036285714,10045,364.49,0.0399426310182107,0.0326287969817893
180,2,149,HIV_prev_national,0.023,2870,66.01,0.0284842638731102,0.0175157361268898
180,2,150,HIV_prev_national,0.0725,2870,208.075,0.0819870918462022,0.0630129081537978
180,2,151,HIV_prev_national,0.103,2870,295.61,0.114120440135907,0.0918795598640931
180,2,14,HIV_prev_national,0.106,1435,152.11,0.121927361325856,0.0900726386741444
180,2,0,HIV_prev_national,0.071857143,10045,721.805,0.0769074235771033,0.0668068624228967
190,1,149,HIV_prev_national,0.008,4897,41,0.0104950765160035,0.00550492348399646
190,1,150,HIV_prev_national,0.045,3017,136,0.0523972173328164,0.0376027826671836
190,1,151,HIV_prev_national,0.099,2095,208,0.111788984769347,0.0862110152306528
190,1,14,HIV_prev_national,0.14,845,118,0.163395534950819,0.116604465049181
190,1,0,HIV_prev_national,0.046342362,10854,503,0.0502972893560615,0.0423874346439386
190,2,149,HIV_prev_national,0.034,6348,215,0.0384581805591938,0.0295418194408062
190,2,150,HIV_prev_national,0.098,4598,450,0.106593694567717,0.0894063054322835
190,2,151,HIV_prev_national,0.125,2787,347,0.13727831128713,0.11272168871287
190,2,14,HIV_prev_national,0.128,983,125.824,0.148885003837212,0.107114996162788
190,2,0,HIV_prev_national,0.077318837,14716,1137.824,0.0816342432386433,0.0730034307613567
196,1,149,HIV_prev_national,0.034,924,31.416,0.0456853070091983,0.0223146929908017
196,1,150,HIV_prev_national,0.177,618,109.386,0.207091262154336,0.146908737845664
196,1,151,HIV_prev_national,0.266,486,129.276,0.305284280618056,0.226715719381944
196,1,14,HIV_prev_national,0.194,331,64.214,0.236599301692042,0.151400698307958
196,1,0,HIV_prev_national,0.141709199,2359,334.292,0.155782642409517,0.127635755590483
196,2,149,HIV_prev_national,0.116,832,96.512,0.137759131408458,0.0942408685915418
196,2,150,HIV_prev_national,0.36,813,292.68,0.392994690248735,0.327005309751265
196,2,151,HIV_prev_national,0.403,598,240.994,0.442313090638291,0.363686909361709
196,2,14,HIV_prev_national,0.199,487,96.913,0.234458993714371,0.163541006285629
196,2,0,HIV_prev_national,0.26633663,2730,727.099,0.282918390412898,0.249754869587102
