"age_group_id","location_id","sex_id","mean","upper","lower"
14,179,1,10684.3096619587,16108.3444980048,6632.89436482978
14,179,2,8486.66539927822,12625.9333745341,5121.56188176575
149,179,1,46052.3723557109,65100.6315571451,31506.1466221593
149,179,2,48293.506450209,68675.1041733192,32837.0509059379
150,179,1,40504.7368294052,55092.263928561,27505.5641840138
150,179,2,44291.787684711,61038.5312863132,29535.8091895285
151,179,1,28154.7601321254,37424.0114827361,20105.3323223311
151,179,2,29802.9236627579,40440.0557321096,20634.0096450696
14,180,1,8781.50962724317,13286.3981653655,5450.86384793362
14,180,2,6950.03258440789,10762.9730928451,4159.16569657861
149,180,1,28957.032499788,41343.1365868208,20053.5430361026
149,180,2,30479.911258146,43379.3021967264,20845.8575435705
150,180,1,28284.7814450128,38413.435922848,18978.8096910665
150,180,2,39402.4227978127,54639.190237383,26424.921188168
151,180,1,25634.1528801777,34917.7522541289,18018.9628132324
151,180,2,27696.2236227641,38321.2096396019,18806.3821454895
14,190,1,5330.51415475681,7277.92140876569,3563.02686104189
14,190,2,2772.29299797027,4045.1446752629,1774.617846589
149,190,1,27061.9958086282,36347.7749567036,19538.6417085993
149,190,2,24680.5380219069,33437.4152018191,17299.7999144181
150,190,1,21235.3133263098,27341.6951294025,15509.0436585961
150,190,2,20935.8912279923,27921.6858296087,14575.2802198818
151,190,1,15175.9652438479,19456.5956673363,11372.4121944918
151,190,2,10488.5587830466,13805.1299180536,7739.2160189158
14,196,1,17058.6453630708,23785.911851493,11473.4384951361
14,196,2,17975.9745753094,25085.5099761285,12158.497875793
149,196,1,37773.0409369028,49879.0017498498,26897.2997466187
149,196,2,95546.0099596671,128139.601657985,66472.9380936613
150,196,1,63934.796181343,83804.9233968939,45732.3910413649
150,196,2,142524.274223717,187991.583534272,101466.881576305
151,196,1,58233.3905283452,75265.9317455995,43113.0027839916
151,196,2,74137.7837917204,95323.7368746952,53655.5150455311
